filename,mean_fst,weighted_fst,pop1,pop2
Central_Fbragg_R2_mindpop0.5_fst.log,0.0145187,0.0295858,Central BC (Hi),Fort Bragg
SD_FbraggA_R2_mindpop0.5_fst.log,0.00698499,0.0168398,San Diego (AQ),Fort Bragg (AQ)
fst.59061322.log,0.00514206,0.0140596,Fort Bragg (AQ),Hazard Canyon
fst.59061169.log,0.0372931,0.0631258,Central BC (Hi),Haida Gwaii (Hi)
fst.59061483.log,0.0308552,0.0502898,Ensenada,Haida Gwaii (Hi)
fst.59061343.log,0.033624,0.0548408,Hazard Canyon,Haida Gwaii (Hi)
fst.59061488.log,4.74381,0.00301813,Ensenada,Bamfield (Hi)
SD_LA_R2_mindpop0.5_fst.log,-0.00174706,0.00399387,San Diego (AQ),LA (AQ)
Bamfield_WH_R2_mindpop0.5_fst.log,0.00172517,0.00513758,Bamfield,Winter Harbor (Hi)
fst.59061447.log,0.00441715,0.013242,LA (AQ),Fort Bragg (AQ)
fst.59061209.log,-0.000710528,0.0021988,Winter Harbor (Hi),Fort Bragg
fst.59061229.log,0.015951,0.0313893,Ucluelet,Central BC (Hi)
Monterey_Ucluelet_R2_mindpop0.5_fst.log,0.000666561,0.00515588,Monterey,Ucluelet
SB_Baja_R2_mindpop0.5_fst.log,-0.00753727,0.00038429,Santa Barbara,Ensenada
Baja_FbraggA_R2_mindpop0.5_fst.log,0.00364276,0.0137438,Ensenada,Fort Bragg (AQ)
fst.59061291.log,-0.00641776,0.00156096,Bamfield (Hi),Santa Barbara
fst.59061272.log,0.0290895,0.0486733,Bamfield (Hi),Haida Gwaii (Hi)
fst.59061403.log,-0.0108099,0.00263995,Santa Barbara,Monterey
WH_SB_R2_mindpop0.5_fst.log,-0.00789301,0.00467409,Winter Harbor (Hi),Santa Barbara
fst.59061475.log,-0.00244444,0.00300469,San Diego (AQ),Monterey
fst.59061298.log,0.000143262,0.00453399,Fort Bragg,Ucluelet
Ucluelet_Baja_R2_mindpop0.5_fst.log,-0.000924029,0.00434639,Ucluelet,Ensenada
fst.59061433.log,0.00320837,0.00668819,LA (AQ),Bamfield
fst.59061172.log,0.0171327,0.0323179,Central BC (Hi),Winter Harbor (Hi)
WH_SBA_R2_mindpop0.5_fst.log,0.00249395,0.00703045,Winter Harbor (Hi),Santa Barbara (AQ)
fst.59061186.log,0.0156257,0.0304998,Central BC (Hi),Hazard Canyon
fst.59061430.log,0.000485201,0.00426843,LA (AQ),Winter Harbor (Hi)
BamfieldH_SBA_R2_mindpop0.5_fst.log,0.000342041,0.00393569,Bamfield (Hi),Santa Barbara (AQ)
FbraggA_Ucluelet_R2_mindpop0.5_fst.log,0.00572189,0.0151971,Fort Bragg (AQ),Ucluelet
Baja_Bamfield_R2_mindpop0.5_fst.log,0.00272145,0.00610859,Ensenada,Bamfield
fst.59061174.log,0.015951,0.0313893,Central BC (Hi),Ucluelet
fst.59061487.log,0.00272145,0.00610859,Ensenada,Bamfield
fst.59061417.log,-0.00878172,0.00313448,Santa Barbara,LA (AQ)
fst.59061394.log,-0.0063233,0.00512421,Santa Barbara,Ucluelet
HG_Central_R2_mindpop0.5_fst.log,0.0372931,0.0631258,Haida Gwaii (Hi),Central BC (Hi)
Fbragg_Baja_R2_mindpop0.5_fst.log,-0.00106382,0.00127545,Fort Bragg,Ensenada
SBA_SB_R2_mindpop0.5_fst.log,-0.00990301,0.00234956,Santa Barbara (AQ),Santa Barbara
fst.59061179.log,0.0127231,0.028055,Central BC (Hi),Bamfield (Hi)
Bamfield_HG_R2_mindpop0.5_fst.log,0.0340329,0.05555,Bamfield,Haida Gwaii (Hi)
BamfieldH_Monterey_R2_mindpop0.5_fst.log,0.000957664,0.00310222,Bamfield (Hi),Monterey
FbraggA_SB_R2_mindpop0.5_fst.log,0.00206952,0.0132899,Fort Bragg (AQ),Santa Barbara
SBA_Fbragg_R2_mindpop0.5_fst.log,0.00299051,0.00492688,Santa Barbara (AQ),Fort Bragg
SB_HG_R2_mindpop0.5_fst.log,0.0337245,0.0593592,Santa Barbara,Haida Gwaii (Hi)
fst.59061365.log,0.00299051,0.00492688,Santa Barbara (AQ),Fort Bragg
fst.59061203.log,9.27608,0.00488194,Winter Harbor (Hi),Ucluelet
SBA_Central_R2_mindpop0.5_fst.log,0.0145767,0.0304904,Santa Barbara (AQ),Central BC (Hi)
Hazard_FbraggA_R2_mindpop0.5_fst.log,0.00514206,0.0140596,Hazard Canyon,Fort Bragg (AQ)
fst.59061335.log,0.00579077,0.0147119,Monterey,Fort Bragg (AQ)
fst.59061262.log,0.00683277,0.016956,Bamfield,Fort Bragg (AQ)
fst.59061395.log,-0.00626248,0.00670472,Santa Barbara,Bamfield
FbraggA_Baja_R2_mindpop0.5_fst.log,0.00364276,0.0137438,Fort Bragg (AQ),Ensenada
SB_Monterey_R2_mindpop0.5_fst.log,-0.0108099,0.00263995,Santa Barbara,Monterey
fst.59061234.log,7.59408,0.00401575,Ucluelet,Bamfield
