Id,group,Collection,
ngm_dtas_rg_24145Pal_AP24_S23.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_AP24_S23.bam
ngm_dtas_rg_24145Pal_AP2_S14.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_AP2_S14.bam
ngm_dtas_rg_24145Pal_AP3_S15.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_AP3_S15.bam
ngm_dtas_rg_24145Pal_AP4_S16.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_AP4_S16.bam
ngm_dtas_rg_24145Pal_AP5_S17.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_AP5_S17.bam
ngm_dtas_rg_24145Pal_AP9_S18.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_AP9_S18.bam
ngm_dtas_rg_24145Pal_B12_S7.bam,Bamfield,New,ngm_dtas_rg_24145Pal_B12_S7.bam
ngm_dtas_rg_24145Pal_B19_S8.bam,Bamfield,New,ngm_dtas_rg_24145Pal_B19_S8.bam
ngm_dtas_rg_24145Pal_B2_S6.bam,Bamfield,New,ngm_dtas_rg_24145Pal_B2_S6.bam
ngm_dtas_rg_24145Pal_Ba10_S56.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba10_S56.bam
ngm_dtas_rg_24145Pal_Ba11_S57.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba11_S57.bam
ngm_dtas_rg_24145Pal_Ba13_S58.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba13_S58.bam
ngm_dtas_rg_24145Pal_Ba14_S59.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba14_S59.bam
ngm_dtas_rg_24145Pal_Ba15_S60.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba15_S60.bam
ngm_dtas_rg_24145Pal_Ba16_S61.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba16_S61.bam
ngm_dtas_rg_24145Pal_Ba17_S62.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba17_S62.bam
ngm_dtas_rg_24145Pal_Ba18_S63.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba18_S63.bam
ngm_dtas_rg_24145Pal_Ba19_S64.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba19_S64.bam
ngm_dtas_rg_24145Pal_Ba21_S65.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba21_S65.bam
ngm_dtas_rg_24145Pal_Ba23_S66.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba23_S66.bam
ngm_dtas_rg_24145Pal_Ba3_S52.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba3_S52.bam
ngm_dtas_rg_24145Pal_Ba7_S53.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba7_S53.bam
ngm_dtas_rg_24145Pal_Ba8_S54.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba8_S54.bam
ngm_dtas_rg_24145Pal_Ba9_S55.bam,Ensenada,New,ngm_dtas_rg_24145Pal_Ba9_S55.bam
ngm_dtas_rg_24145Pal_D2_S10.bam,San Diego,Historic,ngm_dtas_rg_24145Pal_D2_S10.bam
ngm_dtas_rg_24145Pal_D3_S11.bam,San Diego,Historic,ngm_dtas_rg_24145Pal_D3_S11.bam
ngm_dtas_rg_24145Pal_D4_S12.bam,San Diego,Historic,ngm_dtas_rg_24145Pal_D4_S12.bam
ngm_dtas_rg_24145Pal_D5_S13.bam,San Diego,Historic,ngm_dtas_rg_24145Pal_D5_S13.bam
ngm_dtas_rg_24145Pal_S10_S25.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S10_S25.bam
ngm_dtas_rg_24145Pal_S11_S26.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S11_S26.bam
ngm_dtas_rg_24145Pal_S12_S27.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S12_S27.bam
ngm_dtas_rg_24145Pal_S13_S28.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S13_S28.bam
ngm_dtas_rg_24145Pal_S14_S29.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S14_S29.bam
ngm_dtas_rg_24145Pal_S15_S30.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S15_S30.bam
ngm_dtas_rg_24145Pal_S16_S31.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S16_S31.bam
ngm_dtas_rg_24145Pal_S17_S32.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S17_S32.bam
ngm_dtas_rg_24145Pal_S34_S33.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S34_S33.bam
ngm_dtas_rg_24145Pal_S7_S24.bam,Bamfield,Historic,ngm_dtas_rg_24145Pal_S7_S24.bam
ngm_dtas_rg_24145Pal_SB-10_S5.bam,Santa Barbara,New,ngm_dtas_rg_24145Pal_SB-10_S5.bam
ngm_dtas_rg_24145Pal_SB-2_S1.bam,Santa Barbara,New,ngm_dtas_rg_24145Pal_SB-2_S1.bam
ngm_dtas_rg_24145Pal_SB-5_S2.bam,Santa Barbara,New,ngm_dtas_rg_24145Pal_SB-5_S2.bam
ngm_dtas_rg_24145Pal_SB-6_S3.bam,Santa Barbara,New,ngm_dtas_rg_24145Pal_SB-6_S3.bam
ngm_dtas_rg_24145Pal_SB-8_S4.bam,Santa Barbara,New,ngm_dtas_rg_24145Pal_SB-8_S4.bam
ngm_dtas_rg_24145Pal_SD10_S41.bam,San Diego,Aquarium,ngm_dtas_rg_24145Pal_SD10_S41.bam
ngm_dtas_rg_24145Pal_SD1_S34.bam,San Diego,Aquarium,ngm_dtas_rg_24145Pal_SD1_S34.bam
ngm_dtas_rg_24145Pal_SD2_S35.bam,San Diego,Aquarium,ngm_dtas_rg_24145Pal_SD2_S35.bam
ngm_dtas_rg_24145Pal_SD3_S36.bam,San Diego,Aquarium,ngm_dtas_rg_24145Pal_SD3_S36.bam
ngm_dtas_rg_24145Pal_SD5_S37.bam,San Diego,Aquarium,ngm_dtas_rg_24145Pal_SD5_S37.bam
ngm_dtas_rg_24145Pal_SD7_S38.bam,San Diego,Aquarium,ngm_dtas_rg_24145Pal_SD7_S38.bam
ngm_dtas_rg_24145Pal_SD8_S39.bam,San Diego,Aquarium,ngm_dtas_rg_24145Pal_SD8_S39.bam
ngm_dtas_rg_24145Pal_SD9_S40.bam,San Diego,Aquarium,ngm_dtas_rg_24145Pal_SD9_S40.bam
